league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_4_years_future,Rk_4_years_future,W_4_years_future,D_4_years_future,L_4_years_future,GF_4_years_future,GA_4_years_future,GD_4_years_future,Pts/MP_4_years_future,PF_next_5_years
Ligue 1,FC Girondins Bordeaux,2013,7,13,14,11,49,43,6,1.39,1,0,6,17,12,9,47,44,3,1.66,1,11,12,14,12,50,57,-7,1.32,0,6,15,14,9,53,43,10,1.55,0,6,16,7,15,53,48,5,1.45,1
Ligue 1,FC Nantes,2013,13,12,10,16,38,43,-5,1.21,1,1,14,11,12,15,29,40,-11,1.18,1,14,12,12,14,33,44,-11,1.26,1,7,14,9,15,40,54,-14,1.34,1,9,14,10,14,36,41,-5,1.37,1
Ligue 1,FC Toulouse,2013,9,12,13,13,46,53,-7,1.29,1,2,17,12,6,20,43,64,-21,1.11,2,17,9,13,16,45,55,-10,1.05,1,13,10,14,14,37,41,-4,1.16,2,18,9,10,19,38,54,-16,0.97,2
Ligue 1,Stade Rennais FC,2013,12,11,13,14,47,45,2,1.21,1,1,9,13,11,14,35,42,-7,1.32,1,8,13,13,12,52,54,-2,1.37,1,9,12,14,12,36,42,-6,1.32,0,5,16,10,12,50,44,6,1.53,1
Ligue 1,EA Guingamp,2013,16,11,9,18,34,42,-8,1.11,2,1,10,15,4,19,41,55,-14,1.29,2,16,11,11,16,47,56,-9,1.16,1,10,14,8,16,46,53,-7,1.32,1,12,12,11,15,48,59,-11,1.24,2
Ligue 1,Montpellier HSC,2013,15,8,18,12,45,53,-8,1.11,2,1,7,16,8,14,46,39,7,1.47,1,12,14,7,17,49,47,2,1.29,2,15,10,9,19,48,66,-18,1.03,1,10,11,18,9,36,33,3,1.34,0
Ligue 1,AS Monaco,2014,3,20,11,7,51,26,25,1.87,0,0,3,17,14,7,57,50,7,1.71,0,1,30,5,3,107,31,76,2.5,0,2,24,8,6,85,45,40,2.11,2,17,8,12,18,38,57,-19,0.95,1
Ligue 1,AS Saint-Étienne,2014,5,19,12,7,51,30,21,1.82,0,0,6,17,7,14,42,37,5,1.53,1,8,12,14,12,41,42,-1,1.32,1,7,15,10,13,47,50,-3,1.45,0,4,19,9,10,59,41,18,1.74,2
Ligue 1,FC Girondins Bordeaux,2014,6,17,12,9,47,44,3,1.66,0,1,11,12,14,12,50,57,-7,1.32,0,6,15,14,9,53,43,10,1.55,0,6,16,7,15,53,48,5,1.45,1,14,10,11,17,34,42,-8,1.08,1
Ligue 1,Olympique Lyon,2014,2,22,9,7,72,33,39,1.97,0,0,2,19,8,11,67,43,24,1.71,0,4,21,4,13,77,48,29,1.76,0,3,23,9,6,87,43,44,2.05,0,3,21,9,8,70,47,23,1.89,1
Ligue 1,Olympique Marseille,2014,4,21,6,11,76,42,34,1.82,0,1,13,10,18,10,48,42,6,1.26,0,5,17,11,10,57,41,16,1.63,0,4,22,11,5,80,47,33,2.03,0,5,18,7,13,60,52,8,1.61,0
Ligue 1,Paris Saint-Germain,2014,1,24,11,3,83,36,47,2.18,0,0,1,30,6,2,102,19,83,2.53,0,2,27,6,5,83,27,56,2.29,0,1,29,6,3,108,29,79,2.45,0,1,29,4,5,105,35,70,2.39,0
Ligue 1,FC Nantes,2014,14,11,12,15,29,40,-11,1.18,1,1,14,12,12,14,33,44,-11,1.26,1,7,14,9,15,40,54,-14,1.34,1,9,14,10,14,36,41,-5,1.37,1,12,13,9,16,48,48,0,1.26,1
Ligue 1,LOSC Lille,2014,8,16,8,14,43,42,1,1.47,1,0,5,15,15,8,39,27,12,1.58,1,11,13,7,18,40,47,-7,1.21,2,17,10,8,20,41,67,-26,1.0,0,2,22,9,7,68,33,35,1.97,0
Ligue 1,Montpellier HSC,2014,7,16,8,14,46,39,7,1.47,1,1,12,14,7,17,49,47,2,1.29,2,15,10,9,19,48,66,-18,1.03,1,10,11,18,9,36,33,3,1.34,0,6,15,14,9,53,42,11,1.55,1
Ligue 1,OGC Nice,2014,11,13,9,16,44,53,-9,1.26,1,0,4,18,9,11,58,41,17,1.66,0,3,22,12,4,63,36,27,2.05,1,8,15,9,14,53,52,1,1.42,1,7,15,11,12,30,35,-5,1.47,0
Ligue 1,Stade Rennais FC,2014,9,13,11,14,35,42,-7,1.32,1,1,8,13,13,12,52,54,-2,1.37,1,9,12,14,12,36,42,-6,1.32,0,5,16,10,12,50,44,6,1.53,1,10,13,13,12,55,52,3,1.37,0
Ligue 1,FC Toulouse,2014,17,12,6,20,43,64,-21,1.11,2,2,17,9,13,16,45,55,-10,1.05,1,13,10,14,14,37,41,-4,1.16,2,18,9,10,19,38,54,-16,0.97,2,16,8,14,16,35,57,-22,1.0,2
