league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Ligue 1,FC Sochaux-Montbéliard,2011,14,11,9,18,40,60,-20,1.11,1,2.0,15.0,10.0,11.0,17.0,41.0,57.0,-16.0,1.08,2.0,18.0,10.0,10.0,18.0,37.0,61.0,-24.0,1.05,1.0
Ligue 1,AS Saint-Étienne,2011,7,16,9,13,49,45,4,1.5,1,0.0,5.0,16.0,15.0,7.0,60.0,32.0,28.0,1.66,0.0,4.0,20.0,9.0,9.0,56.0,34.0,22.0,1.82,0.0
Ligue 1,OGC Nice,2011,13,10,12,16,39,46,-7,1.11,1,0.0,4.0,18.0,10.0,10.0,57.0,46.0,11.0,1.68,2.0,17.0,12.0,6.0,20.0,30.0,44.0,-14.0,1.11,1.0
Ligue 1,FC Toulouse,2011,8,15,11,12,37,34,3,1.47,1,1.0,10.0,13.0,12.0,13.0,49.0,47.0,2.0,1.34,1.0,9.0,12.0,13.0,13.0,46.0,53.0,-7.0,1.29,2.0
Ligue 1,Olympique Marseille,2011,10,12,12,14,45,41,4,1.26,1,0.0,2.0,21.0,8.0,9.0,42.0,36.0,6.0,1.87,0.0,6.0,16.0,12.0,10.0,53.0,40.0,13.0,1.58,0.0
Ligue 1,Stade Brestois 29,2011,15,8,17,13,31,38,-7,1.08,2,2.0,20.0,8.0,5.0,25.0,32.0,62.0,-30.0,0.76,2.0,15.0,8.0,17.0,13.0,31.0,38.0,-7.0,1.08,2.0
Ligue 1,Dijon FCO,2011,19,9,9,20,38,63,-25,0.95,2,2.0,19.0,9.0,9.0,20.0,38.0,63.0,-25.0,0.95,2.0,19.0,9.0,9.0,20.0,38.0,63.0,-25.0,0.95,2.0
Ligue 1,SM Caen,2011,18,9,11,18,39,59,-20,1.0,2,2.0,18.0,9.0,11.0,18.0,39.0,59.0,-20.0,1.0,2.0,18.0,9.0,11.0,18.0,39.0,59.0,-20.0,1.0,1.0
Ligue 1,FC Lorient,2011,17,9,12,17,35,49,-14,1.03,2,1.0,8.0,14.0,11.0,13.0,57.0,58.0,-1.0,1.39,1.0,8.0,13.0,10.0,15.0,48.0,53.0,-5.0,1.29,2.0
Ligue 1,AC Ajaccio,2011,16,9,14,15,40,61,-21,1.08,2,2.0,17.0,9.0,15.0,14.0,39.0,51.0,-12.0,1.05,2.0,20.0,4.0,11.0,23.0,37.0,72.0,-35.0,0.61,2.0
Ligue 1,AJ Auxerre,2011,20,7,13,18,46,57,-11,0.89,2,2.0,20.0,7.0,13.0,18.0,46.0,57.0,-11.0,0.89,2.0,20.0,7.0,13.0,18.0,46.0,57.0,-11.0,0.89,2.0
Ligue 1,Olympique Lyon,2012,3,19,10,9,61,38,23,1.76,0,0.0,5.0,17.0,10.0,11.0,56.0,44.0,12.0,1.61,0.0,2.0,22.0,9.0,7.0,72.0,33.0,39.0,1.97,0.0
Ligue 1,LOSC Lille,2012,6,16,14,8,59,40,19,1.63,0,0.0,3.0,20.0,11.0,7.0,46.0,26.0,20.0,1.87,1.0,8.0,16.0,8.0,14.0,43.0,42.0,1.0,1.47,0.0
Ligue 1,AS Saint-Étienne,2012,5,16,15,7,60,32,28,1.66,0,0.0,4.0,20.0,9.0,9.0,56.0,34.0,22.0,1.82,0.0,5.0,19.0,12.0,7.0,51.0,30.0,21.0,1.82,0.0
Ligue 1,Paris Saint-Germain,2012,1,25,8,5,69,23,46,2.18,0,0.0,1.0,27.0,8.0,3.0,84.0,23.0,61.0,2.34,0.0,1.0,24.0,11.0,3.0,83.0,36.0,47.0,2.18,0.0
Ligue 1,OGC Nice,2012,4,18,10,10,57,46,11,1.68,0,2.0,17.0,12.0,6.0,20.0,30.0,44.0,-14.0,1.11,1.0,11.0,13.0,9.0,16.0,44.0,53.0,-9.0,1.26,0.0
Ligue 1,Olympique Marseille,2012,2,21,8,9,42,36,6,1.87,0,0.0,6.0,16.0,12.0,10.0,53.0,40.0,13.0,1.58,0.0,4.0,21.0,6.0,11.0,76.0,42.0,34.0,1.82,1.0
Ligue 1,Valenciennes FC,2012,11,12,12,14,49,53,-4,1.26,1,2.0,19.0,7.0,8.0,23.0,37.0,65.0,-28.0,0.76,1.0,11.0,12.0,12.0,14.0,49.0,53.0,-4.0,1.26,1.0
Ligue 1,Stade Reims,2012,14,10,13,15,33,42,-9,1.13,1,1.0,11.0,12.0,12.0,14.0,44.0,52.0,-8.0,1.26,2.0,15.0,12.0,8.0,18.0,47.0,66.0,-19.0,1.16,2.0
Ligue 1,FC Lorient,2012,8,14,11,13,57,58,-1,1.39,1,1.0,8.0,13.0,10.0,15.0,48.0,53.0,-5.0,1.29,2.0,16.0,12.0,7.0,19.0,44.0,50.0,-6.0,1.13,2.0
Ligue 1,FC Girondins Bordeaux,2012,7,13,16,9,40,34,6,1.45,1,1.0,7.0,13.0,14.0,11.0,49.0,43.0,6.0,1.39,0.0,6.0,17.0,12.0,9.0,47.0,44.0,3.0,1.66,1.0
Ligue 1,Montpellier HSC,2012,9,15,7,16,54,51,3,1.37,1,2.0,15.0,8.0,18.0,12.0,45.0,53.0,-8.0,1.11,1.0,7.0,16.0,8.0,14.0,46.0,39.0,7.0,1.47,1.0
Ligue 1,SC Bastia,2012,12,13,8,17,50,66,-16,1.24,1,1.0,10.0,13.0,10.0,15.0,42.0,56.0,-14.0,1.29,1.0,12.0,12.0,11.0,15.0,37.0,46.0,-9.0,1.24,1.0
Ligue 1,FC Toulouse,2012,10,13,12,13,49,47,2,1.34,1,1.0,9.0,12.0,13.0,13.0,46.0,53.0,-7.0,1.29,2.0,17.0,12.0,6.0,20.0,43.0,64.0,-21.0,1.11,2.0
Ligue 1,Stade Rennais FC,2012,13,13,7,18,48,59,-11,1.21,1,1.0,12.0,11.0,13.0,14.0,47.0,45.0,2.0,1.21,1.0,9.0,13.0,11.0,14.0,35.0,42.0,-7.0,1.32,1.0
Ligue 1,FC Évian Thonon Gaillard,2012,16,10,10,18,46,53,-7,1.05,2,1.0,14.0,11.0,11.0,16.0,39.0,51.0,-12.0,1.16,2.0,18.0,11.0,4.0,23.0,41.0,62.0,-21.0,0.97,2.0
Ligue 1,Stade Brestois 29,2012,20,8,5,25,32,62,-30,0.76,2,2.0,20.0,8.0,5.0,25.0,32.0,62.0,-30.0,0.76,2.0,20.0,8.0,5.0,25.0,32.0,62.0,-30.0,0.76,2.0
Ligue 1,AS Nancy-Lorraine,2012,18,9,11,18,38,58,-20,1.0,2,2.0,18.0,9.0,11.0,18.0,38.0,58.0,-20.0,1.0,2.0,18.0,9.0,11.0,18.0,38.0,58.0,-20.0,1.0,2.0
Ligue 1,AC Ajaccio,2012,17,9,15,14,39,51,-12,1.05,2,2.0,20.0,4.0,11.0,23.0,37.0,72.0,-35.0,0.61,2.0,17.0,9.0,15.0,14.0,39.0,51.0,-12.0,1.05,2.0
Ligue 1,ESTAC Troyes,2012,19,8,13,17,43,61,-18,0.97,2,2.0,19.0,8.0,13.0,17.0,43.0,61.0,-18.0,0.97,2.0,19.0,8.0,13.0,17.0,43.0,61.0,-18.0,0.97,2.0
Ligue 1,FC Sochaux-Montbéliard,2012,15,10,11,17,41,57,-16,1.08,2,2.0,18.0,10.0,10.0,18.0,37.0,61.0,-24.0,1.05,2.0,15.0,10.0,11.0,17.0,41.0,57.0,-16.0,1.08,2.0
Ligue 1,Paris Saint-Germain,2013,1,27,8,3,84,23,61,2.34,0,0.0,1.0,24.0,11.0,3.0,83.0,36.0,47.0,2.18,0.0,1.0,30.0,6.0,2.0,102.0,19.0,83.0,2.53,0.0
Ligue 1,Olympique Marseille,2013,6,16,12,10,53,40,13,1.58,0,0.0,4.0,21.0,6.0,11.0,76.0,42.0,34.0,1.82,1.0,13.0,10.0,18.0,10.0,48.0,42.0,6.0,1.26,0.0
Ligue 1,Olympique Lyon,2013,5,17,10,11,56,44,12,1.61,0,0.0,2.0,22.0,9.0,7.0,72.0,33.0,39.0,1.97,0.0,2.0,19.0,8.0,11.0,67.0,43.0,24.0,1.71,0.0
Ligue 1,AS Saint-Étienne,2013,4,20,9,9,56,34,22,1.82,0,0.0,5.0,19.0,12.0,7.0,51.0,30.0,21.0,1.82,0.0,6.0,17.0,7.0,14.0,42.0,37.0,5.0,1.53,1.0
Ligue 1,LOSC Lille,2013,3,20,11,7,46,26,20,1.87,0,1.0,8.0,16.0,8.0,14.0,43.0,42.0,1.0,1.47,0.0,5.0,15.0,15.0,8.0,39.0,27.0,12.0,1.58,1.0
