league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_next_3_years
Primera Division,Rayo Vallecano,2013,12,13,4,21,46,80,-34,1.13,1,1,11,15,4,19,46,68,-22,1.29,2,18,9,11,18,52,73,-21,1.0,2
Primera Division,Real Sociedad,2013,7,16,11,11,62,55,7,1.55,1,1,12,11,13,14,44,51,-7,1.21,1,9,13,9,16,45,48,-3,1.26,0
Primera Division,Valencia CF,2013,8,13,10,15,51,53,-2,1.29,1,0,4,22,11,5,70,32,38,2.03,1,12,11,11,16,46,48,-2,1.16,1
Primera Division,CA Osasuna,2013,18,10,9,19,32,62,-30,1.03,2,2,18,10,9,19,32,62,-30,1.03,2,18,10,9,19,32,62,-30,1.03,2
Primera Division,Elche CF,2013,16,9,13,16,30,50,-20,1.05,2,1,13,11,8,19,35,62,-27,1.08,1,13,11,8,19,35,62,-27,1.08,1
Primera Division,Granada CF,2013,15,12,5,21,32,56,-24,1.08,2,2,17,7,14,17,29,64,-35,0.92,2,16,10,9,19,46,69,-23,1.03,2
Primera Division,Real Betis Balompié,2013,20,6,7,25,36,78,-42,0.66,2,2,20,6,7,25,36,78,-42,0.66,1,10,11,12,15,34,52,-18,1.18,1
Primera Division,Real Valladolid CF,2013,19,7,15,16,38,60,-22,0.95,2,2,19,7,15,16,38,60,-22,0.95,2,19,7,15,16,38,60,-22,0.95,2
Primera Division,UD Almería,2013,17,11,7,20,43,71,-28,1.05,2,2,19,8,8,22,35,64,-29,0.76,2,19,8,8,22,35,64,-29,0.76,2
Primera Division,FC Barcelona,2014,1,30,4,4,110,21,89,2.47,0,0,1,29,4,5,112,29,83,2.39,0,2,28,6,4,116,37,79,2.37,0
Primera Division,Real Madrid,2014,2,30,2,6,118,38,80,2.42,0,0,2,28,6,4,110,34,76,2.37,0,1,29,6,3,106,41,65,2.45,0
Primera Division,Sevilla FC,2014,5,23,7,8,71,45,26,2.0,0,1,7,14,10,14,51,50,1,1.37,0,4,21,9,8,69,49,20,1.89,1
Primera Division,Valencia CF,2014,4,22,11,5,70,32,38,2.03,0,1,12,11,11,16,46,48,-2,1.16,1,12,13,7,18,56,65,-9,1.21,0
Primera Division,Villarreal CF,2014,6,16,12,10,48,37,11,1.58,0,0,4,18,10,10,44,35,9,1.68,0,5,19,10,9,56,33,23,1.76,0
