accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,Modelo,dataset,duration,league,model
0.5,0.5103174603174603,0.5510869565217392,0.5103174603174603,0.4782106782106783,0.7706992081992082,Ensemble,data_1,1year,la_liga,Ensemble
0.5833333333333334,0.6158730158730159,0.5678733031674209,0.6158730158730159,0.5617691154422789,0.7479171291671292,Ensemble,data_1,1year,la_liga,Ensemble
0.5714285714285714,0.5818181818181818,0.5925925925925926,0.5818181818181818,0.5851202079272254,0.7267682951968667,Ensemble,data_1,1year,la_liga,Ensemble
0.5384615384615384,0.5290404040404041,0.5568181818181818,0.5290404040404041,0.5336700336700336,0.7416877830525174,Ensemble,data_1,1year,ligue_1_fr,Ensemble
0.6153846153846154,0.600378787878788,0.6314814814814815,0.600378787878788,0.6097643097643098,0.7975374285760758,Ensemble,data_1,1year,ligue_1_fr,Ensemble
0.5641025641025641,0.5542929292929294,0.5782163742690059,0.5542929292929294,0.560359231411863,0.7201808747702468,Ensemble,data_1,1year,ligue_1_fr,Ensemble
0.5897435897435898,0.595959595959596,0.5857031857031857,0.595959595959596,0.5902248289345063,0.811753229325693,Ensemble,data_1,1year,ligue_1_fr,Ensemble
0.5384615384615384,0.538510101010101,0.5578947368421052,0.538510101010101,0.5451659451659451,0.7510903839406255,Ensemble,data_1,1year,ligue_1_fr,Ensemble
0.475,0.4930555555555555,0.4829059829059829,0.4930555555555555,0.4875268817204301,0.7228422619047619,Ensemble,data_1,1year,premier_league,Ensemble
0.725,0.7291666666666666,0.7326631701631703,0.7291666666666666,0.7300362318840579,0.8276289682539683,Ensemble,data_1,1year,premier_league,Ensemble
0.725,0.7430555555555555,0.7291666666666666,0.7430555555555555,0.7261904761904763,0.8397817460317459,Ensemble,data_1,1year,premier_league,Ensemble
0.8,0.7916666666666666,0.8393939393939394,0.7916666666666666,0.8058431101909362,0.8731398809523809,Ensemble,data_1,1year,premier_league,Ensemble
0.575,0.5833333333333334,0.5888888888888889,0.5833333333333334,0.5793650793650793,0.755828373015873,Ensemble,data_1,1year,premier_league,Ensemble
0.55,0.5347222222222222,0.5946054750402577,0.5347222222222222,0.5467643467643467,0.7686011904761904,RandomForest,data_1,1year,serie_a_it,RandomForest
0.6,0.6041666666666666,0.6158645276292335,0.6041666666666666,0.6093544137022397,0.7717013888888888,RandomForest,data_1,1year,serie_a_it,RandomForest
0.55,0.5625,0.5833333333333334,0.5625,0.5601190476190476,0.7354910714285715,RandomForest,data_1,1year,serie_a_it,RandomForest
0.625,0.6527777777777778,0.6257284382284382,0.6527777777777778,0.629100529100529,0.7922867063492064,RandomForest,data_1,1year,serie_a_it,RandomForest
0.55,0.5416666666666666,0.5905483405483406,0.5416666666666666,0.554093223658441,0.7416294642857143,RandomForest,data_1,1year,serie_a_it,RandomForest
0.5424836601307189,0.5387523138037895,0.5594087516803412,0.5387523138037895,0.5451058944231381,0.733167378315095,Ensemble,data_1,3years,all_leagues,Ensemble
0.5751633986928104,0.5693309207379215,0.591686969361388,0.5693309207379215,0.5763918404221463,0.7760061490691226,Ensemble,data_1,3years,all_leagues,Ensemble
0.5882352941176471,0.5870715435932827,0.5991521246179632,0.5870715435932827,0.5900665549566283,0.788250873605774,Ensemble,data_1,3years,all_leagues,Ensemble
0.5657894736842105,0.562906254513939,0.5840678479479023,0.562906254513939,0.5676179911254539,0.7491050410110444,Ensemble,data_1,3years,all_leagues,Ensemble
0.5657894736842105,0.5546453312932976,0.5823715579813141,0.5546453312932976,0.561874906702493,0.7684699704772786,Ensemble,data_1,3years,all_leagues,Ensemble
0.5517241379310345,0.5760683760683761,0.5481481481481482,0.5760683760683761,0.5516908212560386,0.7324893895832111,Ensemble,data_1,3years,bundesliga,Ensemble
0.4482758620689655,0.4239316239316239,0.4287878787878788,0.4239316239316239,0.423015873015873,0.6930408867765848,Ensemble,data_1,3years,bundesliga,Ensemble
0.6206896551724138,0.6126984126984126,0.6309523809523809,0.6126984126984126,0.6178266178266177,0.8160418872493177,Ensemble,data_1,3years,bundesliga,Ensemble
0.5172413793103449,0.5417175417175417,0.5090909090909091,0.5417175417175417,0.5112978524743231,0.6754555629555629,Ensemble,data_1,3years,bundesliga,Ensemble
0.6785714285714286,0.7350427350427351,0.6814814814814815,0.7350427350427351,0.6843434343434343,0.8091147643779223,Ensemble,data_1,3years,bundesliga,Ensemble
0.5862068965517241,0.5824915824915825,0.6130952380952381,0.5824915824915825,0.5910784313725491,0.7875420875420875,Ensemble,data_1,3years,la_liga,Ensemble
