league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
Ligue 1,AJ Auxerre,2010,3.5,1.75,24.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5,0.5,24.0,1,3.0,3.0,25.0,1,2.43,1.215,23.5,0.0,0.0,0.0,0,0.93,0.93,26.0,1,0.0,0.0,0.0,0,1.5,1.5,21.0,1,1,9,10,19,9,45,41,4,1.29,2
Ligue 1,AS Nancy-Lorraine,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.05,2.013,22.5,0.0,0.0,0.0,0,0.25,0.125,22.0,2,0.0,0.0,0.0,0,7.8,3.9,23.0,2,1,13,13,9,16,43,48,-5,1.26,2
Ligue 1,AS Saint-Étienne,2010,3.925,0.981,26.5,0.0,0.0,0.0,0,0.125,0.125,31.0,1,3.2,1.6,27.0,2,0.6,0.6,21.0,1,5.25,1.312,23.0,0.0,0.0,0.0,0,1.1,1.1,23.0,1,3.25,1.625,23.5,2,0.9,0.9,22.0,1,1,10,12,13,13,46,47,-1,1.29,0
Ligue 1,FC Girondins Bordeaux,2010,10.5,2.1,22.2,0.0,0.0,0.0,0,1.5,1.5,20.0,1,0.0,0.0,0.0,0,9.0,2.25,22.75,4,22.0,22.0,24.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,22.0,22.0,24.0,1,0.0,0.0,0.0,0,1,7,12,15,11,43,42,1,1.34,1
Ligue 1,FC Lorient,2010,6.0,1.5,22.25,0.0,0.0,0.0,0,3.5,1.75,21.0,2,1.0,1.0,26.0,1,1.5,1.5,21.0,1,12.8,6.4,27.0,0.0,0.0,0.0,0,12.8,6.4,27.0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,11,12,13,13,46,48,-2,1.29,1
Ligue 1,FC Toulouse,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,16.65,5.55,23.0,0.0,0.0,0.0,0,0.3,0.3,24.0,1,0.0,0.0,0.0,0,16.35,8.175,22.5,2,1,8,14,8,16,38,36,2,1.32,1
Ligue 1,Montpellier HSC,2010,4.3,1.075,25.25,0.0,0.0,0.0,0,0.8,0.8,22.0,1,1.0,1.0,27.0,1,2.5,1.25,26.0,2,14.0,4.667,24.333,1.0,1.0,22.0,1,0.0,0.0,0.0,0,6.5,6.5,25.0,1,6.5,6.5,26.0,1,1,14,12,11,15,32,43,-11,1.24,2
Ligue 1,Valenciennes FC,2010,1.8,0.9,23.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.8,0.9,23.0,2,8.5,2.833,27.0,0.0,0.0,0.0,0,1.5,1.5,28.0,1,0.0,0.0,0.0,0,7.0,3.5,26.5,2,1,12,10,18,10,45,41,4,1.26,2
Ligue 1,AS Monaco,2010,9.75,1.95,23.8,0.0,0.0,0.0,0,0.7,0.7,28.0,1,0.0,0.0,0.0,0,9.05,2.262,22.75,4,14.1,2.014,26.714,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.2,2.4,28.667,3,6.9,1.725,25.25,4,2,18,9,17,12,36,40,-4,1.16,0
Ligue 1,Athlétic Club Arlésien,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5,0.25,26.5,0.0,0.0,0.0,0,0.2,0.2,29.0,1,0.0,0.0,0.0,0,0.3,0.3,24.0,1,2,20,3,11,24,21,70,-49,0.53,2
