league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Serie A,AC Milan,2010,51.3,5.13,23.4,0.0,0.0,0.0,0,8.5,4.25,21.5,2,7.5,1.875,22.25,4,35.3,8.825,25.5,4,25.931,2.593,23.5,4.5,4.5,33.0,1,1.961,0.654,21.333,3,5.46,1.365,23.0,4,14.01,7.005,23.0,2,0,1,24,10,4,65,24,41,2.16,1
Serie A,AS Roma,2010,11.2,2.8,26.25,0.8,0.8,32.0,1,10.4,3.467,24.333,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,10.651,1.522,23.286,0.0,0.0,0.0,0,2.351,0.784,22.333,3,2.5,2.5,29.0,1,5.8,1.933,22.333,3,0,6,18,9,11,59,52,7,1.66,0
Serie A,FC Internazionale,2010,38.135,6.356,21.5,0.0,0.0,0.0,0,15.0,7.5,23.0,2,0.75,0.75,19.0,1,22.385,7.462,21.333,3,66.53,6.653,22.6,0.0,0.0,0.0,0,8.0,8.0,29.0,1,7.68,1.92,22.0,4,50.85,10.17,21.8,5,0,2,23,7,8,69,42,27,2.0,0
Serie A,SS Lazio,2010,29.5,5.9,26.4,0.0,0.0,0.0,0,2.5,2.5,25.0,1,15.5,7.75,25.0,2,11.5,5.75,28.5,2,27.035,5.407,25.2,0.475,0.475,26.0,1,26.36,8.787,26.667,3,0.2,0.2,20.0,1,0.0,0.0,0.0,0,0,5,20,6,12,55,39,16,1.74,1
Serie A,SSC Napoli,2010,19.8,3.3,24.667,0.0,0.0,0.0,0,9.0,4.5,25.5,2,3.0,3.0,25.0,1,7.8,2.6,24.0,3,12.9,1.612,26.375,0.0,0.0,0.0,0,2.9,1.45,28.5,2,3.15,1.05,25.333,3,6.85,2.283,26.0,3,0,3,21,7,10,59,39,20,1.84,0
Serie A,Udinese Calcio,2010,13.55,1.694,21.375,0.0,0.0,0.0,0,6.45,1.612,22.25,4,0.0,0.0,0.0,0,7.1,1.775,20.5,4,30.29,2.524,25.167,0.0,0.0,0.0,0,14.55,4.85,25.333,3,6.7,1.675,24.0,4,9.04,1.808,26.0,5,0,4,20,6,12,65,43,22,1.74,2
Serie A,ACF Fiorentina,2010,22.8,3.8,25.333,6.0,3.0,25.5,2,6.3,6.3,25.0,1,6.5,3.25,26.5,2,4.0,4.0,23.0,1,5.75,1.438,21.75,0.0,0.0,0.0,0,1.3,1.3,21.0,1,4.0,4.0,25.0,1,0.45,0.225,20.5,2,1,9,12,15,11,49,44,5,1.34,0
Serie A,Cagliari Calcio,2010,6.9,1.725,22.25,0.0,0.0,0.0,0,3.8,3.8,21.0,1,2.95,1.475,21.5,2,0.15,0.15,25.0,1,8.957,1.12,25.625,0.0,0.0,0.0,0,0.3,0.3,23.0,1,4.707,1.569,25.333,3,3.95,0.988,26.5,4,1,14,12,9,17,44,51,-7,1.18,2
Serie A,Catania SSD,2010,4.2,0.84,22.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.9,0.975,23.0,4,0.3,0.3,22.0,1,17.0,3.4,28.0,0.0,0.0,0.0,0,0.5,0.5,31.0,1,0.0,0.0,0.0,0,16.5,4.125,27.25,4,1,13,12,10,16,40,52,-12,1.21,2
Serie A,Chievo Verona,2010,6.85,0.685,24.4,0.0,0.0,0.0,0,2.3,0.767,26.333,3,0.8,0.267,24.333,3,3.75,0.938,23.0,4,0.1,0.1,26.0,0.0,0.0,0.0,0,0.1,0.1,26.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,11,11,13,14,38,40,-2,1.21,1
Serie A,Genoa CFC,2010,76.85,3.842,22.45,4.5,4.5,27.0,1,27.5,5.5,24.0,5,21.85,3.642,21.333,6,23.0,2.875,21.75,8,60.4,5.033,24.25,0.0,0.0,0.0,0,29.5,7.375,23.75,4,5.4,1.8,23.0,3,25.5,5.1,25.4,5,1,10,14,9,15,45,47,-2,1.34,1
Serie A,Juventus FC,2010,59.27,4.939,25.417,4.5,4.5,33.0,1,18.17,3.028,23.5,6,0.0,0.0,0.0,0,36.6,7.32,26.2,5,36.78,4.087,25.444,0.0,0.0,0.0,0,7.7,3.85,23.5,2,28.08,4.68,26.5,6,1.0,1.0,23.0,1,1,7,15,13,10,57,47,10,1.53,0
Serie A,Parma Calcio 1913,2010,30.7,2.193,23.5,0.0,0.0,0.0,0,12.6,2.52,24.6,5,8.6,2.15,22.0,4,9.5,1.9,23.6,5,18.656,1.435,23.769,0.0,0.0,0.0,0,7.7,1.54,24.2,5,1.175,0.588,29.0,2,9.781,1.63,21.667,6,1,12,11,13,14,39,47,-8,1.21,2
Serie A,US Palermo,2010,32.781,2.342,22.5,0.0,0.0,0.0,0,10.1,2.02,21.4,5,3.381,0.845,21.75,4,19.3,3.86,24.2,5,23.85,3.407,23.571,1.5,1.5,22.0,1,14.65,3.662,22.25,4,0.0,0.0,0.0,0,7.7,3.85,27.0,2,1,8,17,5,16,58,63,-5,1.47,2
Serie A,AC Cesena,2010,6.565,0.597,24.545,0.1,0.1,34.0,1,2.93,0.733,23.75,4,1.285,0.428,24.667,3,2.25,0.75,22.333,3,3.6,0.6,25.833,0.0,0.0,0.0,0,2.2,1.1,24.5,2,1.0,0.5,28.5,2,0.4,0.2,24.5,2,2,15,11,10,17,38,50,-12,1.13,2
Serie A,AS Bari,2010,10.0,1.429,24.0,0.0,0.0,0.0,0,0.5,0.25,22.0,2,3.0,1.5,27.5,2,6.5,2.167,23.0,3,15.5,15.5,23.0,0.0,0.0,0.0,0,15.5,15.5,23.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,20,5,9,24,27,56,-29,0.63,2
