league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,PF,Rk,W,D,L,GF,GA,GD,Pts/MP,PF_next_5_years
Primera Division,CA Osasuna,2010,2.79,1.395,25.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.79,1.395,25.5,2,10.25,5.125,22.5,0.0,0.0,0.0,0,10.25,5.125,22.5,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,9,13,8,17,45,46,-1,1.24,2
Primera Division,Málaga CF,2010,25.045,2.087,25.833,3.8,1.267,27.333,3,7.945,1.986,27.0,4,6.2,2.067,25.0,3,7.1,3.55,22.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,11,13,7,18,54,68,-14,1.21,1
Primera Division,RCD Espanyol Barcelona,2010,11.25,2.25,24.8,0.0,0.0,0.0,0,2.0,2.0,21.0,1,2.85,1.425,26.0,2,6.4,3.2,25.5,2,24.5,4.9,24.4,0.0,0.0,0.0,0,22.5,7.5,22.667,3,1.8,1.8,29.0,1,0.2,0.2,25.0,1,1,8,15,4,19,46,55,-9,1.29,1
Primera Division,Racing Santander,2010,1.465,0.366,25.0,0.0,0.0,0.0,0,0.315,0.315,27.0,1,0.1,0.1,25.0,1,1.05,0.525,24.0,2,10.0,5.0,22.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.0,6.0,19.0,1,4.0,4.0,26.0,1,1,12,12,10,16,41,56,-15,1.21,2
Primera Division,Real Zaragoza,2010,4.35,1.088,26.75,0.0,0.0,0.0,0,3.85,1.283,27.333,3,0.0,0.0,0.0,0,0.5,0.5,25.0,1,2.0,2.0,27.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,2.0,27.0,1,1,13,12,9,17,40,53,-13,1.18,2
Primera Division,Sporting Gijón,2010,0.8,0.8,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.8,0.8,25.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,10,11,14,13,35,42,-7,1.24,2
Primera Division,Deportivo de La Coruña,2010,0.65,0.325,28.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.65,0.325,28.5,2,16.4,5.467,27.667,0.0,0.0,0.0,0,12.0,12.0,24.0,1,0.0,0.0,0.0,0,4.4,2.2,29.5,2,2,18,10,13,15,31,47,-16,1.13,2
Primera Division,Getafe CF,2010,3.9,1.95,24.0,0.0,0.0,0.0,0,1.4,1.4,23.0,1,0.0,0.0,0.0,0,2.5,2.5,25.0,1,22.1,5.525,24.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.1,1.1,24.0,1,21.0,7.0,24.333,3,2,16,12,8,18,49,60,-11,1.16,2
Primera Division,Hércules CF,2010,6.21,1.242,24.4,0.8,0.8,23.0,1,0.25,0.25,25.0,1,1.66,0.83,24.0,2,3.5,3.5,26.0,1,0.4,0.4,26.0,0.0,0.0,0.0,0,0.4,0.4,26.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,19,9,8,21,36,60,-24,0.92,2
Primera Division,RCD Mallorca,2010,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.4,2.133,26.667,0.0,0.0,0.0,0,1.8,1.8,23.0,1,0.0,0.0,0.0,0,4.6,2.3,28.5,2,2,17,12,8,18,41,56,-15,1.16,2
Primera Division,Real Sociedad,2010,4.2,1.4,24.667,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2,0.2,21.0,1,4.0,2.0,26.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,15,14,3,21,49,66,-17,1.18,1
Primera Division,UD Almería,2010,3.2,1.067,22.667,0.0,0.0,0.0,0,2.3,1.15,22.5,2,0.0,0.0,0.0,0,0.9,0.9,23.0,1,5.0,5.0,23.0,0.0,0.0,0.0,0,5.0,5.0,23.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2,20,6,12,20,36,70,-34,0.79,2
Primera Division,FC Barcelona,2011,60.0,30.0,23.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,34.0,34.0,24.0,1,26.0,26.0,22.0,1,46.95,7.825,26.0,0.0,0.0,0.0,0,6.5,3.25,27.0,2,0.7,0.7,30.0,1,39.75,13.25,24.0,3,0,2,28,7,3,114,29,85,2.39,0
