league_name,club_name,year,Rk,PF,W,D,L,GF,GA,GD,Pts/MP,PF_next_3_years
1 Bundesliga,Borussia Mönchengladbach,2011,4,0,17,9,8,49,24,25,1.76,0
1 Bundesliga,FC Schalke 04,2011,3,0,20,4,10,74,44,30,1.88,0
1 Bundesliga,VfB Stuttgart,2011,6,0,15,8,11,63,46,17,1.56,1
1 Bundesliga,1.FC Nuremberg,2011,10,1,12,6,16,38,49,-11,1.24,2
1 Bundesliga,1.FSV Mainz 05,2011,13,1,9,12,13,47,51,-4,1.15,1
1 Bundesliga,FC Augsburg,2011,14,1,8,14,12,36,49,-13,1.12,0
1 Bundesliga,Hannover 96,2011,7,1,12,12,10,41,45,-4,1.41,1
1 Bundesliga,SC Freiburg,2011,12,1,10,10,14,45,61,-16,1.18,2
1 Bundesliga,SV Werder Bremen,2011,9,1,11,9,14,49,58,-9,1.24,1
1 Bundesliga,TSG 1899 Hoffenheim,2011,11,1,10,11,13,41,47,-6,1.21,1
1 Bundesliga,VfL Wolfsburg,2011,8,1,13,5,16,47,60,-13,1.29,0
1 Bundesliga,1. FC Köln,2011,17,2,8,6,20,39,75,-36,0.88,1
1 Bundesliga,1.FC Kaiserslautern,2011,18,2,4,11,19,24,54,-30,0.68,2
1 Bundesliga,Hamburger SV,2011,15,2,8,12,14,35,57,-22,1.06,2
1 Bundesliga,Hertha BSC,2011,16,2,7,10,17,38,64,-26,0.91,2
1 Bundesliga,Bayer 04 Leverkusen,2012,3,0,19,8,7,65,39,26,1.91,0
1 Bundesliga,Bayern Munich,2012,1,0,29,4,1,98,18,80,2.68,0
1 Bundesliga,Borussia Dortmund,2012,2,0,19,9,6,81,42,39,1.94,0
1 Bundesliga,Eintracht Frankfurt,2012,6,0,14,9,11,49,46,3,1.5,2
1 Bundesliga,FC Schalke 04,2012,4,0,16,7,11,58,50,8,1.62,0
1 Bundesliga,SC Freiburg,2012,5,0,14,9,11,45,40,5,1.5,2
1 Bundesliga,1.FC Nuremberg,2012,10,1,11,11,12,39,47,-8,1.29,2
1 Bundesliga,1.FSV Mainz 05,2012,13,1,10,12,12,42,44,-2,1.24,0
1 Bundesliga,Borussia Mönchengladbach,2012,8,1,12,11,11,45,49,-4,1.38,0
1 Bundesliga,Hamburger SV,2012,7,1,14,6,14,42,53,-11,1.41,1
1 Bundesliga,Hannover 96,2012,9,1,13,6,15,60,62,-2,1.32,2
1 Bundesliga,SV Werder Bremen,2012,14,1,8,10,16,50,66,-16,1.0,1
1 Bundesliga,VfB Stuttgart,2012,12,1,12,7,15,37,55,-18,1.26,2
1 Bundesliga,VfL Wolfsburg,2012,11,1,10,13,11,47,52,-5,1.26,1
1 Bundesliga,FC Augsburg,2012,15,2,8,9,17,33,51,-18,0.97,1
1 Bundesliga,Fortuna Düsseldorf,2012,17,2,7,9,18,39,57,-18,0.88,2
1 Bundesliga,SpVgg Greuther Fürth,2012,18,2,4,9,21,26,60,-34,0.62,2
