league_name,club_name,year,Rk,PF,W,D,L,GF,GA,GD,Pts/MP,PF_next_1_years
Ligue 1,SC Bastia,2014,12,1,12,11,15,37,46,-9,1.24,1
Ligue 1,SM Caen,2014,13,1,12,10,16,54,55,-1,1.21,1
Ligue 1,Stade Rennais FC,2014,9,1,13,11,14,35,42,-7,1.32,1
Ligue 1,FC Lorient,2014,16,2,12,7,19,44,50,-6,1.13,2
Ligue 1,FC Metz,2014,19,2,7,9,22,31,61,-30,0.79,2
Ligue 1,FC Toulouse,2014,17,2,12,6,20,43,64,-21,1.11,2
Ligue 1,FC Évian Thonon Gaillard,2014,18,2,11,4,23,41,62,-21,0.97,2
Ligue 1,RC Lens,2014,20,2,7,8,23,32,61,-29,0.76,2
Ligue 1,Stade Reims,2014,15,2,12,8,18,47,66,-19,1.16,2
Ligue 1,AS Monaco,2015,3,0,17,14,7,57,50,7,1.71,0
Ligue 1,AS Saint-Étienne,2015,6,0,17,7,14,42,37,5,1.53,1
Ligue 1,LOSC Lille,2015,5,0,15,15,8,39,27,12,1.58,1
Ligue 1,OGC Nice,2015,4,0,18,9,11,58,41,17,1.66,0
Ligue 1,Olympique Lyon,2015,2,0,19,8,11,67,43,24,1.71,0
Ligue 1,Paris Saint-Germain,2015,1,0,30,6,2,102,19,83,2.53,0
Ligue 1,Angers SCO,2015,9,1,13,11,14,40,38,2,1.32,1
Ligue 1,FC Girondins Bordeaux,2015,11,1,12,14,12,50,57,-7,1.32,0
Ligue 1,FC Nantes,2015,14,1,12,12,14,33,44,-11,1.26,1
Ligue 1,Montpellier HSC,2015,12,1,14,7,17,49,47,2,1.29,2
Ligue 1,Olympique Marseille,2015,13,1,10,18,10,48,42,6,1.26,0
Ligue 1,SC Bastia,2015,10,1,14,8,16,36,42,-6,1.32,2
Ligue 1,SM Caen,2015,7,1,16,6,16,39,52,-13,1.42,2
Ligue 1,Stade Rennais FC,2015,8,1,13,13,12,52,54,-2,1.37,1
Ligue 1,EA Guingamp,2015,16,2,11,11,16,47,56,-9,1.16,1
Ligue 1,ESTAC Troyes,2015,20,2,3,9,26,28,83,-55,0.47,2
Ligue 1,FC Lorient,2015,15,2,11,13,14,47,58,-11,1.21,2
Ligue 1,FC Toulouse,2015,17,2,9,13,16,45,55,-10,1.05,1
Ligue 1,Stade Reims,2015,18,2,10,9,19,44,57,-13,1.03,2
Ligue 1,AS Monaco,2016,1,0,30,5,3,107,31,76,2.5,0
Ligue 1,FC Girondins Bordeaux,2016,6,0,15,14,9,53,43,10,1.55,0
Ligue 1,OGC Nice,2016,3,0,22,12,4,63,36,27,2.05,1
Ligue 1,Olympique Lyon,2016,4,0,21,4,13,77,48,29,1.76,0
Ligue 1,Olympique Marseille,2016,5,0,17,11,10,57,41,16,1.63,0
Ligue 1,Paris Saint-Germain,2016,2,0,27,6,5,83,27,56,2.29,0
Ligue 1,AS Saint-Étienne,2016,8,1,12,14,12,41,42,-1,1.32,1
Ligue 1,Angers SCO,2016,12,1,13,7,18,40,49,-9,1.21,1
Ligue 1,EA Guingamp,2016,10,1,14,8,16,46,53,-7,1.32,1
Ligue 1,FC Metz,2016,14,1,11,10,17,39,72,-33,1.13,2
Ligue 1,FC Nantes,2016,7,1,14,9,15,40,54,-14,1.34,1
Ligue 1,FC Toulouse,2016,13,1,10,14,14,37,41,-4,1.16,2
Ligue 1,LOSC Lille,2016,11,1,13,7,18,40,47,-7,1.21,2
Ligue 1,Stade Rennais FC,2016,9,1,12,14,12,36,42,-6,1.32,0
Ligue 1,AS Nancy-Lorraine,2016,19,2,9,8,21,29,52,-23,0.92,2
Ligue 1,Dijon FCO,2016,16,2,8,13,17,46,58,-12,0.97,1
Ligue 1,FC Lorient,2016,18,2,10,6,22,44,70,-26,0.95,2
Ligue 1,Montpellier HSC,2016,15,2,10,9,19,48,66,-18,1.03,1
Ligue 1,SC Bastia,2016,20,2,8,10,20,29,54,-25,0.89,2
Ligue 1,SM Caen,2016,17,2,10,7,21,36,65,-29,0.97,2
Ligue 1,AS Monaco,2017,2,0,24,8,6,85,45,40,2.11,2
Ligue 1,FC Girondins Bordeaux,2017,6,0,16,7,15,53,48,5,1.45,1
Ligue 1,Olympique Lyon,2017,3,0,23,9,6,87,43,44,2.05,0
Ligue 1,Olympique Marseille,2017,4,0,22,11,5,80,47,33,2.03,0
Ligue 1,Paris Saint-Germain,2017,1,0,29,6,3,108,29,79,2.45,0
Ligue 1,Stade Rennais FC,2017,5,0,16,10,12,50,44,6,1.53,1
Ligue 1,AS Saint-Étienne,2017,7,1,15,10,13,47,50,-3,1.45,0
Ligue 1,Amiens SC,2017,13,1,12,9,17,37,42,-5,1.18,2
Ligue 1,Angers SCO,2017,14,1,9,14,15,42,52,-10,1.08,1
Ligue 1,Dijon FCO,2017,11,1,13,9,16,55,73,-18,1.26,2
Ligue 1,EA Guingamp,2017,12,1,12,11,15,48,59,-11,1.24,2
Ligue 1,FC Nantes,2017,9,1,14,10,14,36,41,-5,1.37,1
Ligue 1,Montpellier HSC,2017,10,1,11,18,9,36,33,3,1.34,0
Ligue 1,OGC Nice,2017,8,1,15,9,14,53,52,1,1.42,1
Ligue 1,FC Metz,2017,20,2,6,8,24,34,76,-42,0.68,2
Ligue 1,FC Toulouse,2017,18,2,9,10,19,38,54,-16,0.97,2
Ligue 1,LOSC Lille,2017,17,2,10,8,20,41,67,-26,1.0,0
Ligue 1,RC Strasbourg Alsace,2017,15,2,9,11,18,44,67,-23,1.0,1
Ligue 1,SM Caen,2017,16,2,10,8,20,27,52,-25,1.0,2
Ligue 1,AS Saint-Étienne,2018,4,0,19,9,10,59,41,18,1.74,2
Ligue 1,LOSC Lille,2018,2,0,22,9,7,68,33,35,1.97,0
Ligue 1,Montpellier HSC,2018,6,0,15,14,9,53,42,11,1.55,1
Ligue 1,Olympique Lyon,2018,3,0,21,9,8,70,47,23,1.89,1
Ligue 1,Olympique Marseille,2018,5,0,18,7,13,60,52,8,1.61,0
Ligue 1,Paris Saint-Germain,2018,1,0,29,4,5,105,35,70,2.39,0
Ligue 1,Angers SCO,2018,13,1,10,16,12,44,49,-5,1.21,1
Ligue 1,FC Girondins Bordeaux,2018,14,1,10,11,17,34,42,-8,1.08,1
Ligue 1,FC Nantes,2018,12,1,13,9,16,48,48,0,1.26,1
Ligue 1,Nîmes Olympique,2018,9,1,15,8,15,57,58,-1,1.39,2
Ligue 1,OGC Nice,2018,7,1,15,11,12,30,35,-5,1.47,0
Ligue 1,RC Strasbourg Alsace,2018,11,1,11,16,11,58,48,10,1.29,1
Ligue 1,Stade Reims,2018,8,1,13,16,9,39,42,-3,1.45,0
Ligue 1,Stade Rennais FC,2018,10,1,13,13,12,55,52,3,1.37,0
Ligue 1,AS Monaco,2018,17,2,8,12,18,38,57,-19,0.95,1
Ligue 1,Amiens SC,2018,15,2,9,11,18,31,52,-21,1.0,2
Ligue 1,Dijon FCO,2018,18,2,9,7,22,31,60,-29,0.89,2
Ligue 1,EA Guingamp,2018,20,2,5,12,21,28,68,-40,0.71,2
Ligue 1,FC Toulouse,2018,16,2,8,14,16,35,57,-22,1.0,2
Ligue 1,SM Caen,2018,19,2,7,12,19,29,54,-25,0.87,2
