league_name,club_name,year,Rk,W,D,L,GF,GA,GD,Pts/MP,PF,PF_1_years_future,Rk_1_years_future,W_1_years_future,D_1_years_future,L_1_years_future,GF_1_years_future,GA_1_years_future,GD_1_years_future,Pts/MP_1_years_future,PF_2_years_future,Rk_2_years_future,W_2_years_future,D_2_years_future,L_2_years_future,GF_2_years_future,GA_2_years_future,GD_2_years_future,Pts/MP_2_years_future,PF_3_years_future,Rk_3_years_future,W_3_years_future,D_3_years_future,L_3_years_future,GF_3_years_future,GA_3_years_future,GD_3_years_future,Pts/MP_3_years_future,PF_next_3_years
Ligue 1,Olympique Lyon,2012,3,19,10,9,61,38,23,1.76,0,0,5,17,10,11,56,44,12,1.61,0,2,22,9,7,72,33,39,1.97,0,2,19,8,11,67,43,24,1.71,0
Ligue 1,Olympique Marseille,2012,2,21,8,9,42,36,6,1.87,0,0,6,16,12,10,53,40,13,1.58,0,4,21,6,11,76,42,34,1.82,1,13,10,18,10,48,42,6,1.26,1
Ligue 1,Paris Saint-Germain,2012,1,25,8,5,69,23,46,2.18,0,0,1,27,8,3,84,23,61,2.34,0,1,24,11,3,83,36,47,2.18,0,1,30,6,2,102,19,83,2.53,0
Ligue 1,FC Girondins Bordeaux,2012,7,13,16,9,40,34,6,1.45,1,1,7,13,14,11,49,43,6,1.39,0,6,17,12,9,47,44,3,1.66,1,11,12,14,12,50,57,-7,1.32,1
Ligue 1,FC Lorient,2012,8,14,11,13,57,58,-1,1.39,1,1,8,13,10,15,48,53,-5,1.29,2,16,12,7,19,44,50,-6,1.13,2,15,11,13,14,47,58,-11,1.21,2
Ligue 1,FC Toulouse,2012,10,13,12,13,49,47,2,1.34,1,1,9,12,13,13,46,53,-7,1.29,2,17,12,6,20,43,64,-21,1.11,2,17,9,13,16,45,55,-10,1.05,2
Ligue 1,Montpellier HSC,2012,9,15,7,16,54,51,3,1.37,1,2,15,8,18,12,45,53,-8,1.11,1,7,16,8,14,46,39,7,1.47,1,12,14,7,17,49,47,2,1.29,1
Ligue 1,SC Bastia,2012,12,13,8,17,50,66,-16,1.24,1,1,10,13,10,15,42,56,-14,1.29,1,12,12,11,15,37,46,-9,1.24,1,10,14,8,16,36,42,-6,1.32,1
Ligue 1,Stade Reims,2012,14,10,13,15,33,42,-9,1.13,1,1,11,12,12,14,44,52,-8,1.26,2,15,12,8,18,47,66,-19,1.16,2,18,10,9,19,44,57,-13,1.03,2
Ligue 1,Stade Rennais FC,2012,13,13,7,18,48,59,-11,1.21,1,1,12,11,13,14,47,45,2,1.21,1,9,13,11,14,35,42,-7,1.32,1,8,13,13,12,52,54,-2,1.37,1
