league_name,club_name,year,total_fee_in,mean_fee_in,mean_age_in,total_fee_in_GK,mean_fee_in_GK,mean_age_in_GK,count_GK_in,total_fee_in_DEF,mean_fee_in_DEF,mean_age_in_DEF,count_DEF_in,total_fee_in_MID,mean_fee_in_MID,mean_age_in_MID,count_MID_in,total_fee_in_STK,mean_fee_in_STK,mean_age_in_STK,count_STK_in,total_fee_out,mean_fee_out,mean_age_out,total_fee_out_GK,mean_fee_out_GK,mean_age_out_GK,count_GK_out,total_fee_out_DEF,mean_fee_out_DEF,mean_age_out_DEF,count_DEF_out,total_fee_out_MID,mean_fee_out_MID,mean_age_out_MID,count_MID_out,total_fee_out_STK,mean_fee_out_STK,mean_age_out_STK,count_STK_out,total_fee_in_1_years_future,mean_fee_in_1_years_future,mean_age_in_1_years_future,total_fee_in_GK_1_years_future,mean_fee_in_GK_1_years_future,mean_age_in_GK_1_years_future,count_GK_in_1_years_future,total_fee_in_DEF_1_years_future,mean_fee_in_DEF_1_years_future,mean_age_in_DEF_1_years_future,count_DEF_in_1_years_future,total_fee_in_MID_1_years_future,mean_fee_in_MID_1_years_future,mean_age_in_MID_1_years_future,count_MID_in_1_years_future,total_fee_in_STK_1_years_future,mean_fee_in_STK_1_years_future,mean_age_in_STK_1_years_future,count_STK_in_1_years_future,total_fee_out_1_years_future,mean_fee_out_1_years_future,mean_age_out_1_years_future,total_fee_out_GK_1_years_future,mean_fee_out_GK_1_years_future,mean_age_out_GK_1_years_future,count_GK_out_1_years_future,total_fee_out_DEF_1_years_future,mean_fee_out_DEF_1_years_future,mean_age_out_DEF_1_years_future,count_DEF_out_1_years_future,total_fee_out_MID_1_years_future,mean_fee_out_MID_1_years_future,mean_age_out_MID_1_years_future,count_MID_out_1_years_future,total_fee_out_STK_1_years_future,mean_fee_out_STK_1_years_future,mean_age_out_STK_1_years_future,count_STK_out_1_years_future,PF
Premier League,Brighton & Hove Albion,2018,87.12,6.223,22.571,4.5,4.5,29.0,1,20.66,5.165,23.5,4,27.7,9.233,20.0,3,34.26,5.71,22.167,6,13.62,1.946,26.571,0.0,0.0,0.0,0,3.62,1.81,27.0,2,3.9,1.95,24.5,2,6.1,2.033,27.667,3,68.4,11.4,23.333,0.0,0.0,0.0,0.0,27.32,9.107,21.667,3.0,3.3,3.3,29.0,1.0,37.78,18.89,23.0,2.0,8.5,1.7,25.6,0.0,0.0,0.0,0.0,2.3,1.15,27.0,2.0,0.0,0.0,0.0,0.0,6.2,2.067,24.667,3.0,2
Premier League,Burnley FC,2018,33.0,11.0,27.333,3.9,3.9,31.0,1,16.9,16.9,25.0,1,0.0,0.0,0.0,0,12.2,12.2,26.0,1,8.0,8.0,29.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.0,8.0,29.0,1,23.85,5.962,26.25,2.75,2.75,22.0,1.0,1.1,1.1,30.0,1.0,10.0,10.0,24.0,1.0,10.0,10.0,29.0,1.0,13.55,6.775,31.0,8.8,8.8,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,4.75,29.0,1.0,2
Premier League,Cardiff City,2018,51.2,8.533,26.0,4.0,4.0,28.0,1,4.0,4.0,27.0,1,14.8,7.4,26.0,2,28.4,14.2,23.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,51.2,8.533,26.0,4.0,4.0,28.0,1.0,4.0,4.0,27.0,1.0,14.8,7.4,26.0,2.0,28.4,14.2,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Premier League,Fulham FC,2018,116.5,11.65,26.4,6.0,6.0,30.0,1,28.55,7.138,26.0,4,54.85,27.425,24.0,2,27.1,9.033,27.333,3,5.35,2.675,26.5,4.5,4.5,29.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.85,0.85,24.0,1,116.5,11.65,26.4,6.0,6.0,30.0,1.0,28.55,7.138,26.0,4.0,54.85,27.425,24.0,2.0,27.1,9.033,27.333,3.0,5.35,2.675,26.5,4.5,4.5,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.85,24.0,1.0,2
Premier League,Huddersfield Town,2018,50.7,6.338,22.75,2.5,2.5,29.0,1,25.0,12.5,23.5,2,2.5,2.5,20.0,1,20.7,5.175,21.5,4,12.33,4.11,24.667,0.0,0.0,0.0,0,0.33,0.33,27.0,1,0.0,0.0,0.0,0,12.0,6.0,23.5,2,50.7,6.338,22.75,2.5,2.5,29.0,1.0,25.0,12.5,23.5,2.0,2.5,2.5,20.0,1.0,20.7,5.175,21.5,4.0,12.33,4.11,24.667,0.0,0.0,0.0,0.0,0.33,0.33,27.0,1.0,0.0,0.0,0.0,0.0,12.0,6.0,23.5,2.0,2
Premier League,Southampton FC,2018,62.25,15.562,24.0,11.3,11.3,22.0,1,25.0,25.0,25.0,1,7.95,7.95,26.0,1,18.0,18.0,23.0,1,26.1,8.7,27.667,0.0,0.0,0.0,0,0.5,0.5,27.0,1,0.0,0.0,0.0,0,25.6,12.8,28.0,2,61.5,15.375,22.25,0.0,0.0,0.0,0.0,4.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,57.5,19.167,23.0,3.0,27.3,6.825,25.5,0.0,0.0,0.0,0.0,15.5,15.5,23.0,1.0,1.0,1.0,26.0,1.0,10.8,5.4,26.5,2.0,2
Serie A,AC Milan,2009,22.1,4.42,22.4,0.0,0.0,0.0,0,3.2,1.6,23.0,2,2.5,2.5,21.0,1,16.4,8.2,22.5,2,80.66,20.165,23.25,0.0,0.0,0.0,0,0.16,0.08,22.0,2,80.5,40.25,24.5,2,0.0,0.0,0.0,0,51.3,5.13,23.4,0.0,0.0,0.0,0.0,8.5,4.25,21.5,2.0,7.5,1.875,22.25,4.0,35.3,8.825,25.5,4.0,25.931,2.593,23.5,4.5,4.5,33.0,1.0,1.961,0.654,21.333,3.0,5.46,1.365,23.0,4.0,14.01,7.005,23.0,2.0,0
Serie A,AS Roma,2009,3.5,3.5,23.0,0.0,0.0,0.0,0,3.5,3.5,23.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,22.075,4.415,24.2,0.0,0.0,0.0,0,1.2,1.2,22.0,1,20.45,10.225,27.0,2,0.425,0.212,22.5,2,11.2,2.8,26.25,0.8,0.8,32.0,1.0,10.4,3.467,24.333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.651,1.522,23.286,0.0,0.0,0.0,0.0,2.351,0.784,22.333,3.0,2.5,2.5,29.0,1.0,5.8,1.933,22.333,3.0,0
Serie A,FC Internazionale,2009,97.2,13.886,26.429,7.0,7.0,23.0,1,7.0,7.0,31.0,1,35.2,11.733,24.333,3,48.0,24.0,29.0,2,109.1,10.91,22.9,3.5,3.5,23.0,1,10.0,3.333,23.0,3,3.6,1.8,22.5,2,92.0,23.0,23.0,4,38.135,6.356,21.5,0.0,0.0,0.0,0.0,15.0,7.5,23.0,2.0,0.75,0.75,19.0,1.0,22.385,7.462,21.333,3.0,66.53,6.653,22.6,0.0,0.0,0.0,0.0,8.0,8.0,29.0,1.0,7.68,1.92,22.0,4.0,50.85,10.17,21.8,5.0,0
Serie A,SSC Napoli,2009,55.15,7.879,26.143,1.9,1.9,32.0,1,15.5,7.75,26.0,2,14.75,7.375,25.5,2,23.0,11.5,24.0,2,4.75,1.188,26.75,0.0,0.0,0.0,0,0.5,0.5,29.0,1,4.25,1.417,26.0,3,0.0,0.0,0.0,0,19.8,3.3,24.667,0.0,0.0,0.0,0.0,9.0,4.5,25.5,2.0,3.0,3.0,25.0,1.0,7.8,2.6,24.0,3.0,12.9,1.612,26.375,0.0,0.0,0.0,0.0,2.9,1.45,28.5,2.0,3.15,1.05,25.333,3.0,6.85,2.283,26.0,3.0,0
